떠올리다 해도 화가 치 미네;;;떠올리 기만 해도 화가 치 미네
뭐 상관없다;;;뭐 상관없 지
이제 다시 만날 일 없다;;;이제 다시 만날 일 은 없겠 지
돼다 빨리 해주다;;;됐 으니까 빨리 해주세 요
그렇다 짤 막다;;;그럼 짤 막 하 게
저기;;;저기
뜻 하다 않다 편입 하다 돼다;;;뜻하지 않게 편입 하게 됐 지만
손님 앞 서다 보다 적도 없다;;;손님 앞 에 서 본 적도 없는
녀석 들 질 생각 없다;;;녀석 들 에게 질 생각 은 없 습니다
무슨 말 하다 싶다 면;;;무슨 말 을 하고 싶으 냐 면
즉 들어오다 이상;;;즉 들어온 이상
정상 차지 하다 거 거들다;;;정상 을 차지 할 거 거든 요
년 간 자다 부탁 하다;;;년 간 잘 부탁합 니다
이 자식;;;이 자식
시험 때 그 …;;;시험 때 그 …
NAME 이다;;;NAME 였 지
긴장 하다;;;이야 긴장했 네
어리다 때 표창장 같다 것;;;어릴 때 부터 표창장 같은 것 과
연 없다;;;연 이 없었 으니까
나 어떻다;;;나 어땠 어
그렇다 건 아무래도 상관없다;;;그런 건 아무래도 상관없 어
유키 히 군;;;유키 히 라 군
왜 네 여기;;;왜 네 가 여기 에
아니다;;;아니
왜 니;;;왜 냐 니
어째서;;;어째서
그때 겁 먹다;;;그때 는 겁 먹었 다고
맛없다;;;맛없 다 니까
맛있다 맛있다;;;맛있으 면 맛있다 고
아니다 …;;;아니 …
아니다;;;아닌 데
아니다;;;아닌 데
말 해보다;;;말 해보 라고
맛있다;;;맛있는 지
맛없다;;;맛없 는지
맛없다;;;맛없 다고
말 하다 두다;;;말해 두겠 는데
난 인정 하다 수 없다;;;난 인정할 수 없어
너;;;너 도
네 요리 말 이지;;;네 요리 도 말 이지
착오 착오;;;착오 야 착오
넌 착오 NAME 온 거;;;넌 착오 로 NAME 에 온 거 라고
정상 차다;;;정상 을 차지 하 겠 다고
웃기 마;;;웃기 지 마
최첨단 가스트 노미 배우다 오다;;;최첨단 의 가스트 로 노미 를 배워 왔 다고
위 올리다 볼 필요 없다;;;위 를 올려 볼 필요 도 없어
그 들 이기 못 하다 걸;;;그 들 도 이기 지 못 할 걸
중등 부 년 간;;;중등 부 년 간 이라
뭐;;;뭐
난 조리 장 살아오다;;;난 조리 장 에서 살아왔 다고
맛없다 말 들다 채;;;맛없 다는 말 을 들 은 채
가게 이름 먹다 칠 하다 수도 없다;;;가게 이름 에 먹 칠할 수도 없지
기대하다;;;기대하 라고
네 입 분명하다;;;네 입 으로 분명히
맛있다 말 하다 해주다;;;맛있다 고 말하게 해주겠 어
내 요리 전부 다해;;;내 요리 전부 를 다해
굉장하다 편입 생;;;굉장한 편입 생 이네
그래도 이 학교 살아나다 위 하다;;;그래도 이 학교 에서 살아남 기 위해서 는
그 정도 건방지다 게 좋다;;;그 정도 로 건방진 게 좋 을지도
그럴듯하다;;;그럴듯하네
그렇다 NAME;;;그렇 지 NAME
NAME;;;NAME 는
시험 최 하위 이다;;;시험 은 최 하위 였 고
최종 통보 …;;;최종 통보 까지 …
포기 하다 안 돼다;;;포기하면 안 돼
도쿄 보내다;;;도쿄 로 보내준
모두 기대 부응 하다;;;모두 의 기대 에 부응 해야 지
안 그래도 낙제 직전;;;안 그래도 낙제 직전 이니까
저 편입 해오다 사람;;;저 편입 해온 사람 처럼
나쁘다 튀다 않다;;;나쁘 게 튀 지 않도 록
좋다;;;좋 아
그렇다 바로;;;그럼 바로
오늘 각 교실;;;오늘 부터 각 교실 로
나뉘다 수업 진행 하다;;;나뉘 어 수업 을 진행한 다
오늘 이 페어 조리 하다;;;오늘 은 이 페어 로 조리 한 다
알다;;;알 겠 지
자다 부탁 하다;;;잘 부탁해
어째서;;;어째서
제 조리 실습 실;;;제 조리 실습 실
수업 요리 하다 건;;;수업 에서 요리하는 건
가정 조리 실습 이후 처음;;;가정 과 조리 실습 이후 처음 이네
봐 저 녀석;;;봐 라 저 녀석
그렇다;;;그래
시업 식 때 건방지다 소릴 지껄 편입 생;;;시업 식 때 건방진 소릴 지껄 이던 편입 생 이다
어차피 입 산 거 겠다;;;어차피 입 만 산 거 겠지
저기;;;저기
이 이 것;;;이 이건
긴장 하다 않다;;;긴장하지 않으 려고요
긴장;;;긴장
너 같다 녀석 있다;;;너 같은 녀석 도 있구 나
무사 평온 하다 살아나다 자고;;;무사 평온 하게 살아남 자고
NAME 불다 돼다;;;NAME 라고 불러 도 돼
주위 시선 따다 …;;;주위 시선 이 따 가 워 …
이 사람 깨닫다 못 걸다;;;이 사람 은 깨닫 지 못 한 걸 까
주목;;;주목
좋다 아침;;;좋 은 아침
안녕하십니까;;;안녕하십니까
주방 선 순간 맛있다 걸 만들다 책임 생기다;;;주방 에 선 순간 부터 맛있는 걸 만들 책임 이 생긴 다
그것 경험 입장 상관없다;;;그것 에는 경험 이나 입장 도 상관없 지
내 수업 A 를 받다 못 요리 모조리 E 로 간주 다;;;내 수업 에서는 A 를 받지 못 한 요리 는 모조리 E 로 간주 한 다
기억 하다 두다;;;기억해 둬 라
운 너무 없다;;;운 이 너무 없잖 아
첫 수업 마주 하다;;;첫 수업 부터 마주 하다 니
어 째 무섭다 보이다 선생님;;;어 째 무서워 보이는 선생님 이구나
작년 하다 반 명 전원 E 를 주다;;;작년 에도 한 반 명 전원 에게 E 를 줘 서
그중 명 그 수업 퇴학 결정 돼다;;;그중 명 은 그 수업 에서 퇴학 이 결정 됐 대
붙다 별명 웃다 않다 요리사;;;붙은 별명 이 웃지 않는 요리사
헤에;;;헤에
오늘 메뉴 FOOD;;;오늘 의 메뉴 는 FOOD
프렌치 대표 메뉴;;;프렌치 의 대표 메뉴 지만
일단 레시피 칠판 적다 두마;;;일단 레시피 를 칠판 에 적어 두마
제한 시간 시간;;;제한 시간 은 시간
완성 하다 조 내놓다;;;완성한 조 부터 내놓 아라
그렇다 시작 하다;;;그럼 시작하지
조리 개시;;;조리 개시
좌우 간 하다 수 없다;;;좌우 지 간 할 수 밖에 없어
침착하다;;;침착하고
그리고 NAME 군도;;;그리고 NAME 군도
NAME 군 저 요리 만들다 보다 적 …;;;NAME 군 저 요리 만들어 본 적 …
아니다 없다;;;아니 없는 데
대충 쇠 심다 조림 같다 거 잖다;;;대충 쇠 심 줄 조림 같은 거 잖아
뭐 어떻다 게 되다;;;뭐 어떻 게 든 되 겠 지
역시 글렀 지도 …;;;역시 글렀 을 지도 …
양송이 버터 볶다 뒤;;;양송이 는 버터 로 볶은 뒤
나중 냄비 …;;;나중 에 냄비 에 …
남다 건 약하다 불로;;;남은 건 약한 불로
충분하다 끓이다 하다 끝;;;충분히 끓이 기만 하면 끝
앞 분 뒤 쇠고기 꺼내다;;;앞 으로 분 뒤 쇠고기 를 꺼낸 다
여기 봐;;;여기 봐
조미료 종류 엄청 많다;;;조미료 종류 가 엄청 많네
왠지 나 긴장 하다 게 바보 같다;;;왠지 나 만 긴장한 게 바보 같다
이 틈 담 접시 가져오다;;;이 틈 에 담 을 접시 가져와 야지
뚜껑 열다;;;뚜껑 열었 어
응;;;응
안 열다;;;안 열었 는데
이 하얗다 건 뭐;;;이 하얀 건 뭐 야
소금;;;소금 이야
어 어쩌다;;;어 어쩌지
어떻다 게;;;어떡해
이 고기 이제 못 쓰다;;;이 고기 는 이제 못 써
다시 만들다 …;;;다시 만들어 야 해…
하지만 고기 부드럽다 만들다;;;하지만 고기 를 부드럽 게 만들어 서
맛 밸 때 시간 이상 걸리다 …;;;맛 이 밸 때 까지 시간 이상 이 걸려 …
그 뒤 소스 배다 들다;;;그 뒤 소스 를 배 어 드는 데
분 끓이다 하다;;;분 은 끓여 야 하는 데
남다 시간 앞 분 …;;;남은 시간 은 앞 으로 분 …
그렇다고 이렇다 소금 범벅;;;그렇다고 이런 소금 범벅 인
요리 제출 하다;;;요리 를 제출했 다간
평가 E 를 받다 건 확실하다;;;평가 E 를 받는 건 확실하고
엄마 …;;;엄마 …
미안하다 모두 들 …;;;미안해 모두 들 …
예비 식 재료 받다 오다;;;예비 식 재료 받아 왔 어
자 해보다;;;자 해볼 까
어;;;어
NAME 군;;;NAME 군
저 선생님 제법 괜찮다 소릴 하다;;;저 선생님 은 제법 괜찮 은 소릴 하네
우린 학생 이기 전 요리사;;;우린 학생 이기 전 에 요리사 지
도와주다;;;도와줘
여기;;;여기
소금 후추 부케 가르다;;;소금 이랑 후추 랑 부케 가르니
좋다;;;좋 아
그 큰소리 치다 편입 생;;;그 큰소리 치 던 편입 생
E 가다 확정 겠다;;;E 가 확정 이 겠지
그렇다;;;그렇 겠 지
좋다;;;좋 았 어
다음 조;;;다음 조
슬슬 어느 조 완성 되다 때;;;슬슬 어느 조 든 완성될 때 인가
우리 남다 건 소스 뿐;;;우리 도 남은 건 소스 뿐 이야
완성;;;완성 이다
설마;;;설마
완성;;;완성 이다
부드럽다;;;부드럽 군
포크 튕겨나 듯;;;포크 가 튕겨나 는 듯 해
뭐;;;뭐
거짓말;;;거짓말
너희 조 문제 있다;;;너희 조 는 문제 가 있었 을 텐데
어떻다 완성 하다;;;어떻 게 완성했 지
사용 하다 건 벌꿀;;;사용한 건 벌꿀
벌꿀 단백질 분해 효소;;;벌꿀 에는 단백질 분해 효소 인
프로테아제 함유 돼다 있다;;;프로테아제 가 함유 돼 있지
그것 단단하다 쇠 갈다 빗살 작용 하다;;;그것 이 단단한 쇠 갈 빗살 에 작용해서
단시간 부드럽다 완성 하다 수 있다;;;단시간 에 부드럽 게 완성할 수 있었 나
옛날 요리 책 볼 때;;;옛날 에 요리 책 을 볼 때
파인애플 과즙 고기 부드럽다 만들다 적히다;;;파인애플 과즙 이 고기 를 부드럽 게 만든 다고 적혀 있 었 는데
파인애플 같다 건 통째 살 기회 별로 없다;;;파인애플 같은 건 통째 로 살 기회 가 별로 없으 니까
마찬가지 고기 부드럽다 만들다 게 없다;;;마찬가지 로 고기 를 부드럽 게 만들 게 없 을지
이 것 저 것 시험 해봤다;;;이 것 저 것 시험 해봤 어
벌꿀 보존 쉬다 제일 쓰기 편하다;;;벌꿀 은 보존 도 쉽 고 제일 쓰기 편하거 든
뭐 먹다 보다 알;;;뭐 먹어 보면 알 거야
자;;;자
황홀;;;황홀 해
끈 적 끈 적;;;끈 적 끈 적
훌륭하다;;;훌륭해
웃다;;;웃었 어
평가 A 를 주마;;;평가 A 를 주마
소스 타다;;;소스 가 탔 잖 아
큰일;;;큰일 이다
평가 E;;;평가 E
간단하다 형;;;간단했 네 형
그렇다;;;그래
그 편입 생 같다 수업 이다;;;그 편입 생 과 같은 수업 이었 다면
박살 내주다;;;박살 내줬 을 텐데
NAME 군;;;NAME 군
아 수고 하다;;;아 수고했 어
오늘 고맙다;;;오늘 은 고마워
NAME 군 덕분 나 …;;;NAME 군 덕분 에 나 …
돼다;;;됐 어
앞 자다 부탁 하다;;;앞 으로 잘 부탁해
응;;;응
어;;;어
먹다 보고 싶다;;;먹어 보고 싶어
또 신작 요리 시험 하다 걸다;;;또 신작 요리 를 시험 하시 는 걸 까
하다 번 시식 해보다 싶다;;;한 번 시식 해보고 싶어
무슨 일 소란;;;무슨 일 인가요 소란 스럽게
샤페르 선생님 수업;;;샤페르 선생님 의 수업 을
최고 평가 통과 하다 모양;;;최고 평가 로 통과한 모양 이에요
그 남자;;;그 남자
NAME;;;NAME 가
내 앞;;;내 앞 에서
그 이름 입 담다 말다;;;그 이름 입 에 담지 말 아 줄 래
죄송하다;;;죄송해요
역시 이 사람 싫다;;;역시 이 사람 싫어
안 어울리다 …;;;안 어울려 …
파괴 적 일 정도 안 어울리다 …;;;파괴 적 일 정도 로 안 어울려 …
웃음 다 난 정말 맛없다 …;;;웃음 이 다 난 다 정말 맛없 어서 …
NAME;;;NAME
친구 오다;;;친구 왔 다
응;;;응
그렇다 해보다;;;그럼 해볼 까
시식 해보다;;;시식 해보시 길
잡수다 봐;;;잡숴 봐
자다 먹다;;;잘 먹겠 습니다
요리 승부;;;요리 승부
오늘 쿠라 세 심사 위원;;;오늘 은 쿠라 세 심사 위원 인가
어쩌면;;;어쩌면
오늘 말로;;;오늘 에야 말로
마유 생각 하다 있다;;;마유 가 생각하고 있잖 아
이 쪽;;;이 쪽
결정 돼다;;;결정 됐 어
오늘 아저씨 승리;;;오늘 도 아저씨 승리
NAME;;;NAME
아직 수행 부족하다;;;아직 수행 이 부족하구 나
아무래도 오늘 내 패배 모양 이군;;;아무래도 오늘 은 내 패배 인 모양 이군
하다 번 이기다 그리다 말 하다;;;한 번 이라도 이기 고서 그리 말해 라
뭐;;;뭐
우쭐 대지 마;;;우쭐 대지 마
아직 패 거들다;;;아직 패 거든
거의 맞다;;;거의 맞네
시끄럽다 아버지;;;시끄러워 아버지
아저씨 볶음밥 정말 맛있다;;;아저씨 볶음밥 정말 맛있어
너무 행복하다;;;너무 행복해
그 그래도 NAME 군 것 정말 맛있다;;;그 그래도 NAME 군 것 도 정말 맛있었 어
이렇다 맛있다 볶음밥 처음 먹다 보다;;;이런 맛있는 볶음밥 은 처음 먹어 봤 는걸
고맙다 …;;;고마워 …
아깝다 만들다 신작 요리 있다 괜찮다 먹다 볼;;;아까 만든 신작 요리 도 있는 데 괜찮 다면 먹어 볼 래
괜찮다;;;괜찮 아
먹다 보고 싶다;;;먹어 보고 싶어
구운 오징어 땅콩 버터 무침;;;구운 오징어 땅콩 버터 무침
한층 더 엄청나다 …;;;한층 더 엄청난 …
자;;;자
잡수다 봐;;;잡숴 봐
웃음 나오다 정도 맛없다;;;웃음 이 나올 정도 로 맛없 으니까
시 싫다 …;;;시 싫어 …
오징어 풍 미가;;;오징어 의 풍 미가
온몸 더듬 듯;;;온몸 을 더듬 는 듯 한
지독 맛 이다;;;지독 한 맛 이었 습니다
… 후 그 여학생 말 하다;;;… 라고 후 에 그 여학생 이 말했 다
요리 란 끝없다 황야 그 자체;;;요리 란 끝없 는 황야 그 자체 다
끝없이 존재 하다 황야;;;끝없이 존재하는 황야
그 지평선 너머 난 걸다 보고 싶다;;;그 지평선 너머 까지 난 걸어 보고 싶어
정신 차려 마유;;;정신 차려 마유
오징어 …;;;오징어 가 …
오징어 …;;;오징어 가 …
그 버릇 없다 제대로 되다 요리 사일;;;그 버릇 만 없으 면 제대로 된 요리 사일 텐데
그 내 만들다;;;그 보다 내 가 만든
멸치 딸기 잼 무침 더 괴롭다;;;멸치 딸기 잼 무침 이 더 괴로웠 지
NAME;;;NAME
아 그거;;;아 그거
정말 장렬 맛 이다;;;정말 장렬 한 맛 이었 지
그렇다;;;그렇 지
하지만 오징어;;;하지만 오징어
아니다;;;아니
멸치 딸기 잼 쪽 맛없다;;;멸치 딸기 잼 쪽 이 맛없 어
오징어 땅콩 버터 맛없다;;;오징어 땅콩 버터 가 맛없 어
아 부전자전;;;아 부전자전 이구나
향 하다;;;향해 가 네
부추 간 볶음 정식 나오다;;;부추 간 볶음 정식 나왔 습니다
고기 두부 정식 하나;;;고기 두부 정식 하나
일일 정식 하나;;;일일 정식 하나
예;;;예 이
자다 먹다;;;잘 먹었 어
자다 먹다;;;잘 먹었 어
감사 하다;;;감사합 니다
감사 하다;;;감사합 니다
NAME;;;NAME
거기 끝나다 풍 롯불 끄다;;;거기 끝나면 풍 롯불 꺼 라
팬 번은 더 흔들다 하다;;;팬 을 번은 더 흔들었 어야 했 어
그러면 더욱;;;그러면 더욱
요리 수행 가능하다;;;요리 수행 이 가능해
하루 빨리;;;하루 라도 빨리
그리고 이 가게;;;그리고 이 가게 를
짊어질 요리사 …;;;짊어질 요리사 가 …
어서 오 …;;;어서 오 …
실례 하다;;;실례합 니다
아직 영업 중인 모양;;;아직 영업 중인 모양 인데
찾아오다 죄송하다;;;찾아와 서 죄송하네 요
어반 라이프 플 너;;;어반 라이프 플 래 너 인
미네 사키 이다;;;미네 가 사키 입니 다
주문;;;주문 은
오늘 추천 요리;;;오늘 의 추천 요리 는
금눈돔 회;;;금눈돔 회 와
아니다;;;아니 요
오늘 말 이;;;오늘 은 말 이 죠
전날 말씀드리다 플랜 대해;;;전날 말씀드린 플랜 에 대해
다시 하다 번 설명 하다 드리다;;;다시 한 번 설명해 드리 려고요
쾌적 호화;;;쾌적 하고 호화 로운
도시 형 맨션 꼭 이 동네 …;;;도시 형 맨션 을 꼭 이 동네 에 …
아;;;아
여기다 넘기다 거 잖다;;;여길 넘기 란 거 잖아
저번 들다;;;저번 에도 들었 어
돌아가다;;;돌아가
이 가게 접;;;이 가게 를 접 을
생각 전혀 없다;;;생각 은 전혀 없으 니까
그렇다;;;그럼
명함 두다 갈다 테;;;명함 을 두고 갈 테 니
하지만 주인 장;;;하지만 주인 장
요즘 시대 소규모;;;요즘 시대 에 소규모
점포 경영 더욱 힘들다;;;점포 경영 은 더욱 힘들어 지 겠 죠
매일 재료 준비;;;매일 재료 준비 만으로
골 머리 썩다 가게 많다;;;골 머리 를 썩는 가게 도 많다 더군요
우린 그렇다 않다;;;우린 그렇 지 않 거든요
그렇다;;;그래 요
유키 히 책임지다;;;유키 히 라는 책임지 고
훌륭하다;;;훌륭해 라
서비스업 귀감 요;;;서비스업 의 귀감 이네 요
하지만;;;하지만
내지 못 하다;;;내지 못 한 다면
어떻다 책임지다 거지;;;어떻 게 책임질 거지
그때;;;그때 는
깨끗하다 가게 접다;;;깨끗하게 가게 를 접고
폐업 뭐 해주다;;;폐업 이든 뭐 든 해주지
두 말 하다 않다;;;두 말하진 않겠 죠
그렇다;;;그래
그렇다;;;그럼
아버지 소금;;;아버지 소금
소금 뿌리 자;;;소금 뿌리 자
아깝다 기각;;;아까 우 니 기각
오늘 어쩌다;;;오늘 어쩔 래
아 노래방 갈다;;;아 노래방 갈 까
그렇다 뭘 메인 갈다;;;그럼 뭘 메인 으로 갈 까
애니 송 어떻다;;;애니 송 어때
마유;;;마유
애니송 무시 하다 마;;;애니송 을 무시하지 마
응 아버지;;;응 아버지
아니다 아침 식사 재료 사오다;;;아니 아침 식사 재료 사왔 어
왜;;;왜
내 오늘 볼일 있다 나가다;;;내 가 오늘 볼일 이 있어 서 나가거 든
그렇다;;;그래
별일;;;별일 이네
귀가 내일 되다 테;;;귀가 는 내일 이 될 테 니
알다;;;알 았 어
너 말;;;너 말 이야
중학교 나오다 어쩌다 셈;;;중학교 나오면 어쩔 셈 이야
응;;;응
뻔하다;;;뻔하지
가게 요리 수행 이지;;;가게 에서 요리 수행 이지
그렇다;;;그래
뭐 이다;;;뭐 였 지
그 그 아버지;;;그 보다 그 아버지 가
거의 얘기 하다 않다;;;거의 얘기하지 않는 다
생각 해보다 난;;;생각 해보면 난
요리사 로서 아버지 대해;;;요리사 로서 의 아버지 에 대해
거의 알다 게 없다 모르다;;;거의 아는 게 없 을지도 모른 다
냉장고 안도 전부 …;;;냉장고 안도 전부 …
좀도둑;;;좀도둑
아니다 이렇다 좀도둑 어디 있다;;;아니 이런 좀도둑 이 어디 있어
어머;;;어머
어제 멋지다 보이;;;어제 보다 멋지 게 보이 네
거슬리다 간판;;;거슬리 던 간판 이
사라지다 때문 이다;;;사라졌 기 때문 일 까
아아;;;아아
왠지 고기 먹다 싶다 기분;;;왠지 고기 가 먹고 싶은 기분 이네
내 항상 록폰기 먹다;;;내 가 항상 록폰기 에서 먹는
차돌박이 스테이크 최고;;;차돌박이 스테이크 는 최고 인데
촉촉하다 육즙;;;촉촉한 육즙 이
얘 꼬마;;;얘 꼬마 야
하다 접시 만들다 봐;;;한 접시 만들어 봐
엄청나다 촉촉하다 고기 요리;;;엄청나게 촉촉한 고기 요리 를
어머;;;어머
설마 못 만들다;;;설마 못 만드는 거야
손님 고기 원 하다;;;손님 이 고기 를 원하는 데
못 내놓다;;;못 내놓는 거야
꼬마;;;꼬마 야
어제 그렇다;;;어제 그랬 지
촉촉하다 육즙 고기 요리;;;촉촉한 육즙 의 고기 요리
두 번 다시 이 가게;;;두 번 다시 이 가게 에
발 디디 않다 맹세 해;;;발 을 디디 지 않겠 다고 맹세 해 라
네 혀 만족 하다;;;네 혀 를 만족할
요리 내놓다 말;;;요리 를 내놓는 다면 말 이야
고기 하나 남김없이;;;고기 를 하나 도 남김없이
대체 뭘 …;;;대체 뭘 …
어째서;;;어째서
어떻다 …;;;어떻 게 …
이렇게 훌륭하다;;;이렇게 훌륭한
로스트 포크;;;로스트 포크 가
이 것 감자;;;이건 감자 에
내일 아침 식 사용;;;내일 아침 식 사용
유사 로스트 포크;;;유사 로스트 포크 다
감자;;;감자
로스트;;;로스트
그렇다 맞다;;;그래 맞아
우선 감자 찌다;;;우선 감자 를 쪄 서
이 분위기 뭐;;;이 분위기 는 뭐 야
무시 하다;;;무시하는 거야
고기 요리 내놓다 하다;;;고기 요리 를 내놓 으라고 했 잖 아
더 협상 여지 없다;;;더 는 협상 의 여지 가 없네
이 가게 넘기다;;;이 가게 를 넘겨
알다;;;알 겠 어
정말 성공 하다 요리사 말;;;정말 성공한 요리사 는 말 이야
고급 레스토랑;;;고급 레스토랑 이나
일류 호텔 살다 법;;;일류 호텔 에서 사는 법 이야
실패 작;;;실패 작
내다 이 가게;;;내게 이 가게 는
존재 하다 가치 없다;;;존재할 가치 도 없어
이 하다 접시 알 수 있다 거;;;이 한 접시 로 알 수 있 을 거 다
잡수다 봐;;;잡숴 봐
씹다 때;;;씹 을 때 마다
자다 굽다 베이컨;;;잘 구워 진 베이컨 의
향기 육즙 …;;;향기 로운 육즙 이 …
제대로 맛보다 있다;;;제대로 맛보고 있 구먼
네 무시 하다 가게 요리;;;네 가 무시한 가게 요리 라고
가르치다;;;가르쳐 줄 까
뜨겁다 찌다 감자;;;뜨겁 게 찐 감자 에
기름 자다 흡수 하다 섬유질 버섯;;;기름 을 잘 흡수 하는 섬유질 인 버섯
거기 단맛 더 하다;;;거기 에 단맛 을 더할
양파 자다 다지다 섞다;;;양파 를 잘 게 다져 서 섞는 다
그걸 두툼 베이컨 둘둘 말;;;그걸 두툼 한 베이컨 으로 둘둘 말 아
그러면 베이컨 바깥쪽;;;그러면 베이컨 의 바깥쪽 은
바삭바삭 해지;;;바삭바삭 해지 고
감자 버섯 돼지;;;감자 와 버섯 은 돼지 의
감칠맛 기름 전부 받아들이다;;;감칠맛 과 기름 을 전부 받아들인 다
밖 바삭바삭;;;밖 은 바삭바삭
안다 촉촉하다;;;안은 촉촉한
관능 적 식감 탄생 하다;;;관능 적 인 식감 이 탄생하지
옛날;;;옛날 에
손님 내놓다;;;손님 에게 내놓 을
감자 샐러드 만들다 때;;;감자 샐러드 를 만들 때
세팅 실수;;;세팅 실수 로
다른 요리 육즙;;;다른 요리 의 육즙 이
실패 작;;;실패 작 으로부터
고기 요리 하다 수 없다;;;고기 요리 라고 할 수 없어
손 …;;;손 이 …
더 …;;;더 …
육즙 맛보다 싶다;;;육즙 을 맛보고 싶어
뭐 뭐;;;뭐 뭐 야
두 번 다시 이 가게;;;두 번 다시 이 가게 를
노리 않다 말;;;노리 지 않겠 다고 말 이야
흥;;;흥
누가 그렇다 …;;;누가 그런 …
아 그렇다;;;아 그러 셔
하다 수 없다;;;할 수 없지
이 요리;;;이 요리 는
기 기다리다;;;기 기다려
맹세 하다;;;맹세 할 게
맹세 하다 테;;;맹세 할 테 니까
응;;;응
변변 찮아다;;;변변 찮았 습니다
뭐 오든 이 가게;;;뭐 가 오든 이 가게 는
망 트릴 수 없다;;;망 가 트릴 수 없어
요리 달다 하다 위 하다 성;;;요리 를 단 련 하기 위한 성 이라고
무슨 일이 있다 모양;;;무슨 일이 있었 던 모양 이네
별일 아니다;;;별일 아니 야
좀 무례 손님 오다 것 뿐 이지;;;좀 무례 한 손님 이 왔 었 던 것 뿐 이지
응;;;응
년 간 이 가게;;;년 간 이 가게
뭐 그거;;;뭐 그거 지
옛 동료 함께 일해 보지;;;옛 동료 에게 함께 일해 보지
않다 제안 받다;;;않겠 냐는 제안 을 받았 거든
뭐;;;뭐
당분간 그 쪽 신세 질 거;;;당분간 그 쪽 에서 신세 질 거 니까
이 쪽 안 오다;;;이 쪽 엔 안 올 거야
그렇다 수가 …;;;그럴 수가 …
멋대로 …;;;멋대로 …
어이;;;어이
아버지;;;아버지
난 짐 싸다;;;난 짐 싸면
바로 출발 하다;;;바로 출발할 거야
기다리다;;;기다려
네 생활비 적당하다 보내다 테;;;네 생활비 는 적당히 보내 줄 테 니
난 계속 …;;;난 계속 …
이 가게;;;이 가게 에서
요리 학교;;;요리 학교
왜 새삼 이렇다 데;;;왜 새삼 이런 데 를
다니다 하다 거;;;다녀 야만 하는 건데
가게 닫다;;;가게 는 닫 을 거고
